X,Z
30.21,370.735
30.165,370.725
30.12,370.715
30.07,370.725
30.015,370.755
29.97,370.745
29.925,370.73
29.88,370.73
29.825,370.765
29.78,370.755
29.735,370.74
29.685,370.73
29.645,370.71
29.6,370.695
29.545,370.725
29.495,370.745
29.45,370.73
29.4,370.74
29.35,370.74
29.31,370.71
29.265,370.695
29.215,370.69
29.165,370.715
29.11,370.76
29.065,370.75
29.02,370.725
28.965,370.765
28.91,370.805
28.86,370.805
28.82,370.78
28.775,370.75
28.73,370.75
28.68,370.765
28.63,370.78
28.58,370.775
28.53,370.785
28.48,370.805
28.435,370.785
28.395,370.76
28.35,370.74
28.305,370.73
28.255,370.725
28.205,370.74
28.155,370.755
28.105,370.77
28.055,370.77
28.015,370.74
27.975,370.705
27.925,370.7
27.87,370.735
27.82,370.75
27.775,370.735
27.725,370.75
27.675,370.765
27.63,370.755
27.58,370.755
27.53,370.77
27.485,370.775
27.44,370.765
27.395,370.745
27.345,370.75
27.295,370.765
27.25,370.75
27.2,370.75
27.15,370.78
27.095,370.815
27.045,370.825
27,370.82
26.955,370.805
26.91,370.775
26.86,370.785
26.81,370.8
26.765,370.795
26.72,370.78
26.675,370.77
26.63,370.75
26.575,370.775
26.525,370.815
26.475,370.825
26.425,370.815
26.38,370.815
26.33,370.825
26.28,370.835
26.23,370.845
26.185,370.845
26.135,370.84
26.085,370.86
26.04,370.845
25.995,370.84
25.94,370.86
25.89,370.875
25.845,370.88
25.8,370.86
25.76,370.81
25.715,370.795
25.665,370.81
25.615,370.815
25.57,370.795
25.525,370.79
25.475,370.805
25.425,370.82
25.37,370.84
25.325,370.845
25.275,370.84
25.23,370.835
25.185,370.825
25.135,370.82
25.09,370.815
25.045,370.785
25,370.775
24.945,370.81
24.9,370.815
24.855,370.795
24.805,370.8
24.755,370.8
24.71,370.8
24.66,370.8
24.61,370.815
24.56,370.825
24.515,370.825
24.465,370.835
24.42,370.825
24.375,370.8
24.33,370.795
24.28,370.805
24.23,370.795
24.185,370.79
24.135,370.805
24.085,370.825
24.035,370.835
23.985,370.85
23.935,370.865
23.89,370.86
23.84,370.87
23.79,370.875
23.745,370.865
23.7,370.85
23.655,370.815
23.61,370.8
23.56,370.82
23.51,370.84
23.455,370.875
23.405,370.89
23.365,370.865
23.315,370.85
23.265,370.875
23.215,370.895
23.165,370.9
23.12,370.895
23.075,370.885
23.025,370.89
22.98,370.88
22.935,370.855
22.885,370.865
22.84,370.855
22.795,370.835
22.745,370.85
22.695,370.86
22.65,370.84
22.605,370.825
22.555,370.845
22.5,370.875
22.455,370.86
22.41,370.83
22.36,370.85
22.31,370.87
22.26,370.88
22.215,370.88
22.165,370.88
22.115,370.895
22.07,370.89
22.025,370.875
21.975,370.885
21.925,370.895
21.88,370.87
21.835,370.855
21.785,370.86
21.735,370.88
21.69,370.89
21.64,370.885
21.59,370.885
21.545,370.89
21.5,370.86
21.455,370.825
21.41,370.84
21.355,370.89
21.305,370.875
21.26,370.865
21.21,370.87
21.17,370.835
21.125,370.79
21.08,370.795
21.025,370.835
20.98,370.815
20.935,370.8
20.885,370.815
20.835,370.82
20.785,370.835
20.735,370.86
20.685,370.88
20.64,370.88
20.59,370.875
20.545,370.87
20.5,370.855
20.45,370.86
20.4,370.885
20.345,370.92
20.295,370.94
20.245,370.95
20.2,370.95
20.15,370.975
20.095,371.02
20.05,370.995
20.01,370.95
19.96,370.94
19.915,370.92
19.87,370.9
19.825,370.905
19.775,370.905
19.725,370.935
19.67,370.96
19.625,370.95
19.58,370.945
19.535,370.925
19.49,370.92
19.435,370.95
19.39,370.925
19.34,370.935
19.295,370.95
19.245,370.935
19.205,370.9
19.16,370.875
19.105,370.915
19.06,370.92
19.015,370.895
18.965,370.87
18.92,370.885
18.865,370.935
18.81,370.975
18.765,370.975
18.72,370.96
18.67,370.945
18.625,370.94
18.58,370.945
18.53,370.935
18.48,370.94
18.43,370.96
18.38,370.985
18.335,371
18.285,370.985
18.24,370.975
18.19,371
18.14,371
18.1,370.97
18.05,370.96
18,370.975
17.955,370.985
17.905,370.995
17.855,371
17.81,370.985
17.765,370.965
17.72,370.96
17.67,370.96
17.625,370.96
17.575,370.985
17.525,371
17.475,371
17.43,370.99
17.385,370.98
17.335,370.97
17.29,370.97
17.24,370.98
17.19,370.99
17.145,370.99
17.095,370.99
17.05,370.99
17,370.98
16.95,371
16.9,371.025
16.86,370.995
16.815,370.95
16.77,370.94
16.72,370.925
16.675,370.93
16.625,370.965
16.575,370.98
16.525,370.975
16.48,370.985
16.43,371.005
16.38,370.995
16.335,370.965
16.29,370.96
16.245,370.96
16.195,370.96
16.145,370.975
16.095,370.99
16.05,370.995
16,371.01
15.95,371.01
15.905,370.99
15.86,370.995
15.805,371.025
15.76,371.035
15.715,371.005
15.665,371.01
15.615,371.05
15.565,371.07
15.52,371.06
15.47,371.05
15.425,371.055
15.375,371.07
15.325,371.075
15.28,371.065
15.235,371.065
15.185,371.065
15.14,371.06
15.09,371.065
15.045,371.06
14.995,371.045
14.95,371.045
14.9,371.05
14.855,371.06
14.805,371.06
14.76,371.045
14.71,371.055
14.66,371.07
14.615,371.05
14.57,371.035
14.525,371.035
14.475,371.06
14.425,371.05
14.38,371.04
14.33,371.055
14.28,371.08
14.235,371.075
14.19,371.055
14.14,371.045
14.095,371.05
14.045,371.055
13.995,371.07
13.95,371.075
13.9,371.07
13.855,371.075
13.805,371.07
13.76,371.045
13.715,371.04
13.665,371.065
13.615,371.105
13.565,371.11
13.52,371.085
13.475,371.085
13.425,371.105
13.375,371.13
13.325,371.145
13.28,371.145
13.23,371.135
13.185,371.11
13.14,371.095
13.095,371.09
13.045,371.095
12.995,371.13
12.945,371.13
12.9,371.14
12.85,371.135
12.805,371.11
12.76,371.115
12.71,371.125
12.665,371.13
12.615,371.14
12.565,371.145
12.52,371.145
12.47,371.135
12.425,371.14
