X,Z
2.55,363.36
2.5,363.37
2.45,363.375
2.4,363.38
2.35,363.39
2.3,363.385
2.25,363.38
2.2,363.39
2.15,363.4
2.1,363.385
2.055,363.37
2.005,363.335
1.955,363.315
1.905,363.32
1.855,363.345
1.805,363.36
1.755,363.355
1.705,363.345
1.655,363.365
1.605,363.375
1.56,363.375
1.51,363.375
1.46,363.375
1.41,363.37
1.36,363.36
1.31,363.37
1.26,363.39
1.21,363.37
1.16,363.37
1.11,363.38
1.06,363.375
1.015,363.38
0.965,363.385
0.915,363.39
0.865,363.385
0.815,363.36
0.765,363.34
0.715,363.35
0.665,363.375
0.615,363.385
0.565,363.4
0.52,363.415
0.47,363.41
0.42,363.405
0.37,363.395
0.32,363.375
0.27,363.36
0.22,363.385
0.17,363.395
0.12,363.38
0.07,363.375
0.025,363.375
-0.025,363.385
-0.075,363.405
-0.125,363.42
-0.175,363.43
-0.225,363.44
-0.275,363.43
-0.325,363.41
-0.375,363.41
-0.425,363.4
-0.47,363.4
-0.52,363.415
-0.57,363.43
-0.62,363.45
-0.67,363.46
-0.72,363.46
-0.77,363.47
-0.82,363.46
-0.87,363.445
-0.915,363.46
-0.965,363.48
-1.015,363.465
-1.065,363.45
-1.115,363.455
-1.165,363.45
-1.215,363.46
-1.265,363.485
-1.315,363.495
-1.36,363.48
-1.41,363.48
-1.46,363.495
-1.51,363.51
-1.56,363.525
-1.61,363.52
-1.66,363.505
-1.71,363.51
-1.76,363.52
-1.805,363.505
-1.855,363.475
-1.905,363.49
-1.955,363.53
-2.005,363.53
-2.055,363.53
-2.105,363.54
-2.155,363.54
-2.2,363.555
-2.25,363.565
-2.3,363.55
-2.35,363.53
-2.4,363.525
-2.45,363.54
-2.5,363.555
-2.55,363.54
-2.6,363.54
-2.645,363.55
-2.695,363.545
-2.745,363.555
-2.795,363.58
-2.845,363.595
-2.895,363.585
-2.945,363.55
-2.995,363.53
-3.045,363.54
-3.09,363.555
-3.14,363.56
-3.19,363.57
-3.24,363.595
-3.29,363.61
-3.34,363.6
-3.39,363.575
-3.435,363.56
-3.485,363.56
-3.535,363.57
-3.585,363.58
-3.635,363.595
-3.685,363.61
-3.735,363.62
-3.78,363.635
-3.83,363.635
-3.88,363.625
-3.93,363.62
-3.98,363.62
-4.03,363.625
-4.08,363.64
-4.13,363.625
-4.18,363.59
-4.23,363.59
-4.275,363.61
-4.325,363.615
-4.375,363.605
-4.425,363.62
-4.475,363.645
-4.525,363.635
-4.575,363.63
-4.62,363.645
-4.67,363.66
-4.72,363.68
-4.77,363.68
-4.82,363.64
-4.87,363.63
-4.915,363.65
-4.97,363.645
-5.02,363.62
-5.065,363.605
-5.115,363.59
-5.165,363.585
-5.215,363.585
-5.265,363.59
-5.315,363.615
-5.365,363.63
-5.41,363.635
-5.46,363.635
-5.51,363.64
-5.56,363.64
-5.61,363.63
-5.66,363.62
-5.71,363.635
-5.755,363.65
-5.805,363.65
-5.855,363.665
-5.905,363.675
-5.955,363.665
-6.005,363.675
-6.05,363.7
-6.1,363.68
-6.15,363.67
-6.2,363.7
-6.25,363.705
-6.3,363.69
-6.35,363.685
-6.395,363.69
-6.445,363.705
-6.495,363.71
-6.545,363.71
-6.595,363.715
-6.645,363.72
-6.695,363.73
-6.74,363.735
-6.79,363.73
-6.84,363.725
-6.89,363.725
-6.94,363.735
-6.99,363.755
-7.035,363.78
-7.085,363.77
-7.135,363.74
-7.185,363.73
-7.235,363.745
-7.285,363.76
-7.33,363.765
-7.38,363.765
-7.43,363.765
-7.48,363.785
-7.53,363.78
-7.58,363.78
-7.625,363.79
-7.675,363.8
-7.725,363.81
-7.775,363.81
-7.825,363.795
-7.875,363.8
-7.925,363.815
-7.97,363.805
-8.02,363.805
-8.07,363.81
-8.12,363.83
-8.17,363.83
-8.215,363.845
-8.265,363.89
-8.31,363.93
