X,Z
3.39,358.345
3.34,358.34
3.29,358.345
3.24,358.325
3.19,358.33
3.14,358.34
3.085,358.34
3.035,358.345
2.985,358.345
2.935,358.35
2.88,358.38
2.83,358.375
2.78,358.37
2.73,358.38
2.68,358.415
2.625,358.435
2.575,358.44
2.525,358.455
2.475,358.475
2.42,358.465
2.37,358.455
2.32,358.455
2.27,358.44
2.22,358.45
2.17,358.5
2.115,358.525
2.065,358.505
2.015,358.51
1.965,358.555
1.91,358.57
1.86,358.595
1.81,358.625
1.76,358.625
1.71,358.635
1.655,358.655
1.605,358.64
1.555,358.625
1.505,358.645
1.455,358.68
1.4,358.705
1.35,358.72
1.3,358.73
1.25,358.73
1.2,358.73
1.15,358.75
1.095,358.76
1.045,358.765
0.995,358.77
0.945,358.77
0.895,358.79
0.845,358.815
0.79,358.82
0.74,358.815
0.69,358.83
0.64,358.855
0.59,358.885
0.54,358.895
0.485,358.87
0.435,358.87
0.385,358.9
0.335,358.91
0.285,358.915
0.23,358.94
0.18,358.955
0.13,358.955
0.08,358.98
0.03,358.995
-0.02,359
-0.07,359.02
-0.125,359.04
-0.175,359.05
-0.225,359.045
-0.275,359.035
-0.325,359.045
-0.375,359.04
-0.425,359.05
-0.475,359.08
-0.53,359.115
-0.58,359.13
-0.63,359.13
-0.68,359.145
-0.73,359.17
-0.78,359.17
-0.835,359.155
-0.885,359.16
-0.935,359.165
-0.985,359.175
-1.035,359.185
-1.085,359.2
-1.135,359.195
-1.185,359.195
-1.235,359.22
-1.29,359.235
-1.34,359.26
-1.39,359.295
-1.44,359.31
-1.49,359.33
-1.54,359.34
-1.59,359.32
-1.64,359.31
-1.695,359.295
-1.745,359.29
-1.795,359.305
-1.845,359.335
-1.895,359.38
-1.945,359.4
-1.995,359.385
-2.045,359.395
-2.095,359.425
-2.145,359.45
-2.195,359.455
-2.25,359.455
-2.3,359.47
-2.35,359.495
-2.4,359.51
-2.45,359.515
-2.5,359.52
-2.55,359.535
-2.6,359.55
-2.65,359.555
-2.7,359.555
-2.75,359.565
-2.805,359.59
-2.855,359.605
-2.905,359.61
-2.955,359.59
-3.005,359.58
-3.055,359.62
-3.105,359.655
-3.155,359.66
-3.205,359.67
-3.255,359.7
-3.305,359.71
-3.355,359.705
-3.405,359.705
-3.455,359.72
-3.51,359.73
-3.56,359.74
-3.61,359.765
-3.66,359.77
-3.71,359.78
-3.76,359.81
-3.81,359.84
-3.86,359.865
-3.91,359.87
-3.96,359.87
-4.01,359.87
-4.06,359.875
-4.11,359.89
-4.16,359.885
-4.21,359.89
-4.26,359.915
-4.31,359.935
-4.36,359.945
-4.41,359.95
-4.46,359.95
-4.51,359.965
-4.565,359.97
-4.615,359.975
-4.665,359.99
-4.715,360
-4.765,360.015
-4.815,360.02
-4.865,360.025
-4.915,360.05
-4.965,360.07
-5.015,360.075
-5.065,360.075
-5.115,360.075
-5.165,360.095
-5.215,360.12
-5.265,360.115
-5.315,360.11
-5.365,360.13
-5.415,360.16
-5.465,360.17
-5.515,360.16
-5.565,360.16
-5.615,360.185
-5.665,360.205
-5.715,360.185
-5.765,360.18
-5.815,360.195
-5.865,360.205
-5.915,360.23
-5.965,360.265
-6.015,360.285
-6.065,360.295
-6.115,360.3
-6.165,360.3
-6.215,360.305
-6.265,360.305
-6.32,360.3
-6.37,360.3
-6.42,360.305
-6.465,360.325
-6.515,360.355
-6.565,360.38
-6.615,360.4
-6.665,360.405
-6.715,360.405
-6.765,360.41
-6.815,360.42
-6.865,360.43
-6.915,360.435
-6.965,360.44
-7.015,360.475
-7.065,360.51
-7.115,360.525
-7.165,360.53
-7.215,360.54
-7.265,360.54
-7.315,360.525
-7.365,360.51
-7.415,360.52
-7.465,360.545
-7.515,360.55
-7.565,360.56
-7.615,360.57
-7.665,360.555
-7.715,360.555
-7.765,360.58
-7.815,360.63
-7.865,360.645
-7.915,360.635
-7.965,360.665
-8.01,360.695
-8.065,360.69
-8.115,360.685
-8.16,360.7
-8.21,360.725
-8.26,360.78
-8.31,360.81
-8.36,360.795
-8.41,360.775
-8.46,360.83
