X,Z
5.315,363.61
5.265,363.62
5.215,363.6
5.17,363.56
5.12,363.5
5.07,363.47
5.025,363.455
4.975,363.445
4.925,363.445
4.875,363.435
4.825,363.415
4.78,363.375
4.73,363.345
4.68,363.345
4.63,363.365
4.58,363.38
4.53,363.4
4.48,363.42
4.43,363.42
4.38,363.435
4.33,363.45
4.28,363.485
4.23,363.515
4.18,363.52
4.13,363.505
4.08,363.495
4.03,363.485
3.98,363.5
3.93,363.535
3.88,363.555
3.83,363.56
3.78,363.545
3.735,363.54
3.68,363.565
3.635,363.56
3.585,363.54
3.535,363.515
3.485,363.465
3.435,363.425
3.39,363.405
3.34,363.395
3.29,363.385
3.24,363.385
3.19,363.425
3.14,363.46
3.09,363.48
3.04,363.51
2.99,363.535
2.94,363.54
2.89,363.585
2.84,363.63
2.79,363.645
2.74,363.635
2.69,363.67
2.64,363.715
2.59,363.72
2.545,363.675
2.495,363.625
2.445,363.625
2.395,363.635
2.345,363.63
2.295,363.63
2.245,363.615
2.195,363.605
2.15,363.56
2.1,363.52
2.05,363.5
2,363.475
1.95,363.47
1.9,363.495
1.855,363.51
1.805,363.535
1.755,363.61
1.7,363.665
1.655,363.69
1.605,363.71
1.555,363.725
1.505,363.72
1.455,363.715
1.405,363.755
1.355,363.79
1.305,363.795
1.255,363.8
1.205,363.785
1.16,363.76
1.11,363.76
1.06,363.765
1.01,363.77
0.96,363.77
0.91,363.74
0.86,363.71
0.815,363.695
0.765,363.69
0.715,363.655
0.665,363.61
0.615,363.575
0.565,363.585
0.515,363.625
0.465,363.645
0.415,363.675
0.37,363.7
0.32,363.7
0.27,363.725
0.22,363.78
0.17,363.805
0.12,363.81
0.07,363.82
0.02,363.81
-0.03,363.79
-0.075,363.805
-0.125,363.815
-0.175,363.83
-0.225,363.86
-0.275,363.87
-0.325,363.845
-0.375,363.81
-0.42,363.785
-0.47,363.785
-0.52,363.795
-0.57,363.775
-0.62,363.73
-0.67,363.675
-0.72,363.65
-0.77,363.65
-0.82,363.685
-0.865,363.71
-0.915,363.725
-0.965,363.755
-1.015,363.77
-1.065,363.76
-1.115,363.76
-1.165,363.76
-1.21,363.81
-1.26,363.9
-1.31,363.93
-1.36,363.94
-1.41,363.93
-1.46,363.925
-1.51,363.935
-1.555,363.925
-1.605,363.905
-1.655,363.895
-1.705,363.92
-1.755,363.94
-1.805,363.915
-1.855,363.88
-1.905,363.855
-1.95,363.825
-2,363.795
-2.05,363.76
-2.1,363.75
-2.15,363.775
-2.2,363.82
-2.25,363.86
-2.295,363.885
-2.345,363.92
-2.395,363.935
-2.445,363.945
-2.495,363.955
-2.545,363.965
-2.59,363.975
-2.64,364
-2.69,364.025
-2.74,364.02
-2.79,364.015
-2.835,364.04
-2.885,364.045
-2.935,364.01
-2.985,364.005
-3.035,364.02
-3.085,364.035
-3.135,364.045
-3.18,364.035
-3.235,364.005
-3.28,363.97
-3.33,363.93
-3.38,363.865
-3.43,363.84
-3.48,363.865
-3.53,363.895
-3.58,363.905
-3.63,363.94
-3.675,363.96
-3.725,363.975
-3.775,363.99
-3.825,364
-3.87,364.05
-3.92,364.085
-3.97,364.1
-4.02,364.09
-4.07,364.06
-4.12,364.06
-4.165,364.085
-4.215,364.105
-4.265,364.12
-4.315,364.135
-4.365,364.125
-4.41,364.115
-4.46,364.12
-4.51,364.085
-4.56,364.065
-4.61,364.075
-4.66,364.02
-4.71,363.97
-4.76,363.97
-4.81,364
-4.86,364.04
-4.905,364.075
-4.955,364.075
-5.005,364.06
-5.055,364.08
-5.1,364.1
-5.15,364.12
-5.2,364.155
-5.25,364.195
-5.295,364.225
-5.345,364.24
-5.395,364.25
-5.445,364.24
-5.49,364.245
-5.54,364.225
-5.59,364.215
-5.64,364.215
-5.69,364.215
-5.74,364.22
-5.79,364.215
-5.84,364.195
-5.885,364.185
-5.94,364.15
-5.99,364.08
-6.04,364.01
-6.09,364.01
-6.14,364.04
-6.185,364.09
-6.235,364.12
-6.285,364.135
-6.33,364.145
-6.38,364.155
-6.43,364.18
-6.48,364.19
-6.525,364.22
-6.575,364.255
-6.625,364.26
-6.67,364.265
-6.72,364.285
-6.77,364.3
-6.82,364.28
-6.87,364.27
-6.92,364.285
-6.965,364.285
-7.015,364.28
-7.065,364.28
-7.115,364.27
-7.165,364.245
-7.215,364.22
-7.265,364.195
-7.315,364.165
-7.365,364.14
-7.415,364.125
-7.465,364.155
-7.51,364.215
-7.56,364.255
-7.605,364.265
-7.655,364.285
-7.705,364.31
-7.75,364.31
-7.8,364.33
-7.85,364.36
-7.895,364.38
-7.945,364.39
-7.995,364.385
-8.04,364.41
-8.09,364.44
-8.14,364.45
-8.19,364.445
-8.24,364.445
-8.285,364.44
-8.335,364.435
-8.39,364.39
-8.44,364.38
-8.485,364.44
-8.635,364.385
-8.685,364.335
-8.735,364.32
-8.785,364.32
-8.835,364.33
-8.88,364.375
